ACTIVIDAD_ECONOMICA_CIIU;ANIO;GENERACION_TOTAL_KG
1084;2019;65.34
1084;2020;13.9
1084;2021;40.796
1084;2022;44.86
1084;2023;48.924
1084;2024;52.988
1084;2025;57.052
1089;2015;6881.9
1089;2016;4425.31
1089;2017;6984.14
1089;2018;14627.28
1089;2019;15113.09
1089;2020;7956.7
1089;2021;13839.451
1089;2022;15127.465
1089;2023;16415.479
1089;2024;17703.492
1089;2025;18991.506
1090;2015;724.37
1090;2016;2865.37
1090;2017;5130.34
1090;2018;2034.77
1090;2019;3692.42
1090;2020;2146.03
1090;2021;3414.938
1090;2022;3600.477
1090;2023;3786.017
1090;2024;3971.556
1090;2025;4157.096
1101;2015;235.7
1101;2016;23.7
1101;2017;39.1
1101;2018;191.22
1101;2019;487.59
1101;2020;12.55
1101;2021;207.781
1101;2022;220.011
1101;2023;232.241
1101;2024;244.471
1101;2025;256.701
1102;2015;40.0
1102;2016;0.0
1102;2017;300.0
1102;2018;40.0
1102;2021;230.0
1102;2022;260.0
1102;2023;290.0
1102;2024;320.0
1102;2025;350.0
1103;2015;2529.2
1103;2016;3196.5
1103;2017;3115.4
1103;2018;3474.0
1103;2019;3044.0
1103;2020;4977.0
1103;2021;4603.36
1103;2022;4950.22
1103;2023;5297.08
1103;2024;5643.94
1103;2025;5990.8
1104;2015;6938.35
1104;2016;2361.2
1104;2017;3703.2
1104;2018;5290.12
1104;2019;46421.2
1104;2020;230183.94
1104;2021;174149.155
1104;2022;209863.294
1104;2023;245577.433
1104;2024;281291.572
1104;2025;317005.711
1200;2016;62.2
1200;2018;2504.0
1200;2019;639.3
1200;2020;29.5
1200;2021;734.94
1200;2022;708.1
1200;2023;681.26
1200;2024;654.42
1200;2025;627.58
1311;2015;2355.5
1311;2016;1930.0
1311;2017;1658.2
1311;2018;129.59
1311;2019;108.1
1311;2020;417.7
1311;2021;1099.848
1311;2022;1099.848
1311;2023;206.099
1311;2024;7.488
1311;2025;901.237
1312;2015;8431.99
1312;2016;7168.5
1312;2017;10641.98
1312;2018;499.91
1312;2019;974.9
1312;2020;2227.4
1312;2021;4990.78
1312;2022;723.221
1312;2023;4457.335
1312;2024;723.221
1312;2025;4083.924
1313;2015;1053.0
1313;2016;1169.25
1313;2017;665.8
1313;2018;352.25
1313;2019;743.4
1313;2020;68.94999999999999
1313;2021;24.307
1313;2022;582.422
1313;2023;24.307
1313;2024;520.41
1313;2025;24.307
1391;2015;740.0
1391;2021;740.0
1391;2022;740.0
1391;2023;740.0
1391;2024;740.0
1391;2025;740.0
1392;2015;235.7
1392;2016;658.56
1392;2017;257.5
1392;2018;446.0
1392;2019;231.0
1392;2020;35.0
1392;2021;100.859
1392;2022;40.925
1392;2023;250.693
1392;2024;40.925
1392;2025;229.716
1393;2015;4.0
1393;2016;77.0
1393;2017;105.12
1393;2018;78.9
1393;2019;40.0
1393;2021;90.564
1393;2022;97.954
1393;2023;105.344
1393;2024;112.734
1393;2025;120.124
1394;2017;228.0
1394;2020;13.0
1394;2021;120.5
1394;2022;21.269
1394;2023;95.692
1394;2024;12.142
1394;2025;81.767
1399;2015;996.0
1399;2016;1078.4
1399;2017;537.3
1399;2018;796.0
1399;2019;145.7
1399;2020;250.6
1399;2021;7.36
1399;2022;544.48
1399;2023;7.36
1399;2024;484.8
1399;2025;7.36
1410;2015;3697.5
1410;2016;3649.45
1410;2017;2912.11
1410;2018;7034.47
1410;2019;2077.88
1410;2020;2676.54
1410;2021;3104.943
1410;2022;2942.167
1410;2023;2779.391
1410;2024;2616.615
1410;2025;2453.839
1511;2015;65.32
1511;2016;277.34000000000003
1511;2017;67.49000000000001
1511;2018;55.0
1511;2019;193.4
1511;2020;251.8
1511;2021;218.534
1511;2022;237.622
1511;2023;256.71
1511;2024;275.799
1511;2025;294.887
1512;2016;14.25
1512;2017;53.65
1512;2018;26.2
1512;2019;232.82
1512;2020;5.6
1512;2021;115.065
1512;2022;131.252
1512;2023;147.439
1512;2024;163.626
1512;2025;179.813
1513;2015;2413.5
1513;2016;605.5
1513;2017;494.0
1513;2018;156.0
1513;2019;641.0
1513;2020;126.0
1513;2021;739.333
1513;2022;739.333
1513;2023;114.208
1513;2024;669.875
1513;2025;114.208
1521;2015;92.6
1521;2016;25.5
1521;2017;33.45
1521;2018;339.9
1521;2019;672.1
1521;2020;172.0
1521;2021;486.917
1521;2022;562.438
1521;2023;637.96
1521;2024;713.481
1521;2025;789.003
1522;2015;1105.0
1522;2016;1047.0
1522;2017;1041.2
1522;2018;1007.2
1522;2019;767.5
1522;2020;11812.8
1522;2021;8063.433
1522;2022;9568.19
1522;2023;11072.947
1522;2024;12577.704
1522;2025;14082.461
1523;2016;4.3
1523;2021;4.3
1523;2022;4.3
1523;2023;4.3
1523;2024;4.3
1523;2025;4.3
1610;2015;115.0
1610;2019;27.8
1610;2021;71.4
1610;2022;37.143
1610;2023;27.8
1610;2024;18.457
1610;2025;9.114
1620;2017;60.3
1620;2018;134.0
1620;2019;21.2
1620;2021;13.183
1620;2022;57.171
1620;2023;21.367
1620;2024;11.422
1620;2025;1.476
1630;2017;2.0
1630;2021;2.0
1630;2022;2.0
