DEPARTAMENTO;ANNO;Coefficients;Mean squared error;Variance score;;;
GUAVIARE;2022;[-6.46673077];0;1;100;;
HUILA;2021;[5254.91742857];128878108.7;0.38;38;;
HUILA;2022;[5254.91746429];110466950.3;0.63;63;;
HUILA;2023;[5254.91744048];96658581.49;0.65;65;;
HUILA;2024;[5254.91746667];85918739.1;0.68;68;;
HUILA;2025;[5254.91745455];77326865.19;0.75;75;;
LA GUAJIRA;2022;[7561.29889286];865299200.2;0.31;31;;
LA GUAJIRA;2021;[7561.29885714];1009515734;0.34;34;;
LA GUAJIRA;2024;[7561.29893333];673010489;0.36;36;;
LA GUAJIRA;2023;[7561.29891667];757136800.2;0.38;38;;
LA GUAJIRA;2025;[7561.29894545];605709440.1;0.44;44;;
MAGDALENA;2021;[792.97942857];1328289.93;0.58;58;;
MAGDALENA;2022;[792.97946429];1138534.23;0.69;69;;
MAGDALENA;2023;[792.97944048];996217.45;0.77;77;;
MAGDALENA;2024;[792.97946667];885526.62;0.83;83;;
MAGDALENA;2025;[792.97945455];796973.96;0.87;87;;
META;2021;[4456.052];29899391.01;0.66;66;;
META;2022;[4456.052];25628049.44;0.76;76;;
META;2023;[4456.052];22424543.26;0.82;82;;
META;2024;[4456.052];19932927.34;0.87;87;;
META;2025;[4456.052];17939634.61;0.9;90;;
NARINO;2022;[3147.44282143];162233978.9;0.33;33;;
NARINO;2021;[3147.44285714];189272975.4;0.33;33;;
NARINO;2024;[3147.44283333];126181983.6;0.34;34;;
NARINO;2023;[3147.44282143];141954731.6;0.37;37;;
NARINO;2025;[3147.44284848];113563785.3;0.42;42;;
NORTE DE SANTANDER;2021;[8495.99057143];89688128.31;0.7;70;;
NORTE DE SANTANDER;2022;[8495.99057143];76875538.55;0.79;79;;
NORTE DE SANTANDER;2023;[8495.99060714];67266096.23;0.85;85;;
NORTE DE SANTANDER;2024;[8495.99058333];59792085.54;0.89;89;;
NORTE DE SANTANDER;2025;[8495.99059394];53812876.99;0.92;92;;
PUTUMAYO;2021;[23.67285714];271169.17;0.32;32;;
PUTUMAYO;2022;[23.67282143];232430.72;0.32;32;;
PUTUMAYO;2023;[23.67282143];203376.88;0.34;34;;
PUTUMAYO;2024;[23.67283333];180779.45;0.35;35;;
PUTUMAYO;2025;[23.67284848];162701.5;0.37;37;;
QUINDIO;2021;[835.20314286];2779944.74;0.42;42;;
QUINDIO;2022;[835.20317857];2382809.78;0.54;54;;
QUINDIO;2023;[835.20317857];2084958.56;0.64;64;;
QUINDIO;2024;[835.20316667];1853296.49;0.72;72;;
QUINDIO;2025;[835.20315152];1667966.84;0.78;78;;
RISARALDA;2021;[14122.23828571];962538133;0.38;38;;
RISARALDA;2022;[14122.23832143];825032685.5;0.49;49;;
RISARALDA;2023;[14122.23830952];721903599.8;0.59;59;;
RISARALDA;2024;[14122.23828333];641692088.7;0.67;67;;
RISARALDA;2025;[14122.23830909];577522879.8;0.74;74;;
SANTANDER;2021;[10101.61257143];253828054.3;0.54;54;;
SANTANDER;2022;[10101.61260714];217566903.7;0.65;65;;
SANTANDER;2023;[10101.61257143];190371040.7;0.74;74;;
SANTANDER;2024;[10101.61258333];169218702.9;0.8;80;;
SANTANDER;2025;[10101.61255758];152296832.6;0.85;85;;
SUCRE;2021;[-253.244];14735147.25;0.31;31;;
SUCRE;2022;[-253.244];12630126.22;0.32;32;;
SUCRE;2023;[-253.244];11051360.44;0.33;33;;
SUCRE;2024;[-253.244];9823431.5;0.34;34;;
SUCRE;2025;[-253.244];8841088.35;0.36;36;;
