ACTIVIDAD_ECONOMICA_CIIU;ANIO;GENERACION_TOTAL_KG
1410;2018;7034.47
1410;2019;2077.88
1410;2020;2676.54
1511;2015;65.32
1511;2016;277.34000000000003
1511;2017;67.49000000000001
1511;2018;55.0
1511;2019;193.4
1511;2020;251.79999999999998
1512;2016;14.25
1512;2017;53.65
1512;2018;26.2
1512;2019;232.82
1512;2020;5.6
1513;2015;2413.5
1513;2016;605.5
1513;2017;494.0
1513;2018;156.0
1513;2019;641.0
1513;2020;126.0
1521;2015;92.6
1521;2016;25.5
1521;2017;33.449999999999996
1521;2018;339.9
1521;2019;672.1
1521;2020;172.0
1522;2015;1105.0
1522;2016;1047.0
1522;2017;1041.2
1522;2018;1007.2
1522;2019;767.5
1522;2020;11812.8
1523;2016;4.3
1610;2015;115.0
1610;2019;27.8
1620;2017;60.3
1620;2018;134.0
1620;2019;21.2
1630;2017;2.0
1640;2018;18.0
1640;2019;16.1
1640;2020;1.0
1690;2019;4.0
1701;2015;7467.0
1701;2016;8291.8
1701;2017;6120.0
1701;2018;6070.8
1701;2019;5222.8
1701;2020;4702.8
1702;2015;2629.47
1702;2016;1963.8
1702;2017;1619.41
1702;2018;4768.9
1702;2019;2032.08
1702;2020;634.8
1709;2015;4294.9
1709;2016;3467.1
1709;2017;4324.97
1709;2018;5326.8
1709;2019;15344.3
1709;2020;4346.15
1811;2015;18340.8
1811;2016;13886.1
1811;2017;8044.4
1811;2018;6644.0
1811;2019;6898.65
1811;2020;15887.35
1812;2016;95.0
1812;2017;34.3
1812;2018;68.1
1812;2019;109.56
1812;2020;44.0
1910;2016;1092.0
1910;2017;425.4
1910;2018;317.06
1910;2019;687.0
1910;2020;118.5
1921;2015;210.0
1921;2016;384.5
1921;2017;26321.0
1921;2018;2456.0
1921;2019;62074.0
1921;2020;45441.0
2011;2015;1957.49
2011;2016;4791.7
2011;2017;6881.450000000001
2011;2018;5496.8099999999995
2011;2019;8075.9
2011;2020;7305.74
2012;2015;216.79
2012;2016;876.09
2012;2017;629.7
2012;2018;182.58
2012;2019;1066.45
2012;2020;6762.0
2013;2015;1930.0
2013;2016;3485.0
2013;2017;6288.0
2013;2018;4820.5
2013;2019;1370.0
2013;2020;6510.5
2021;2015;3.0
2021;2016;15.0
2021;2017;127.03999999999999
2021;2018;282.3
2021;2019;1319.6
2021;2020;1209.3300000000002
2022;2015;109.0
2022;2016;188.0
2022;2017;726.0
2022;2018;554.75
2022;2019;1271.8
2022;2020;1785.5
2023;2015;17954.21
2023;2016;17650.97
2023;2017;15925.189999999999
2023;2018;19209.84
2023;2019;32323.76
2023;2020;15088.3
2029;2015;6835.79
2029;2016;4656.57
2029;2017;12875.98
2029;2018;9862.65
2029;2019;4994.14
2029;2020;161718.04
2030;2016;145.5
2030;2017;8.0
2030;2020;45.0
2100;2015;5251.5
2100;2016;11102.24
